"","Code","country","century","decade","year","height.cm","year_decade","height.in"
"209",616,"Poland","18","6","0",165.5,"1860",65.1574803149606
"210",642,"Romania","18","6","0",164.1,"1860",64.6062992125984
"211",643,"Russian Federation","18","6","0",163.3,"1860",64.2913385826772
"212",703,"Slovakia","18","6","0",163.5,"1860",64.3700787401575
"213",124,"Canada","18","6","0",172,"1860",67.7165354330709
"214",840,"United States of America","18","6","0",170.6,"1860",67.1653543307087
"215",484,"Mexico","18","6","0",162.9,"1860",64.1338582677165
"216",32,"Argentina","18","6","0",167.4,"1860",65.9055118110236
"217",76,"Brazil","18","6","0",165,"1860",64.9606299212598
"218",604,"Peru","18","6","0",161.7,"1860",63.6614173228346
"219",53,"Australia and New Zealand","18","6","0",170.6,"1860",67.1653543307087
"220",36,"Australia","18","6","0",170.6,"1860",67.1653543307087
"221",554,"New Zealand","18","6","0",172.4,"1860",67.8740157480315
"222",50,"Bangladesh","18","6","0",162.346,"1860",63.9157480314961
"223",356,"India","18","6","0",162.979,"1860",64.1649606299213
"224",586,"Pakistan","18","6","0",164.6,"1860",64.8031496062992
"225",156,"China","18","6","0",165.7,"1860",65.2362204724409
"226",116,"Cambodia","18","6","0",164.9,"1860",64.9212598425197
"227",360,"Indonesia","18","6","0",160.43,"1860",63.1614173228346
"228",418,"Lao People's Democratic Republic","18","6","0",159,"1860",62.5984251968504
"229",458,"Malaysia","18","6","0",161,"1860",63.3858267716535
"230",104,"Myanmar","18","6","0",164,"1860",64.5669291338583
"231",608,"Philippines","18","6","0",155,"1860",61.0236220472441
"232",764,"Thailand","18","6","0",160.1,"1860",63.0314960629921
"233",704,"Viet Nam","18","6","0",158.3,"1860",62.3228346456693
"234",51,"Armenia","18","6","0",167.62,"1860",65.992125984252
"235",31,"Azerbaijan","18","6","0",170.816,"1860",67.2503937007874
"236",196,"Cyprus","18","6","0",168.783,"1860",66.45
"237",268,"Georgia","18","6","0",163,"1860",64.1732283464567
"238",376,"Israel","18","6","0",168.85,"1860",66.4763779527559
"239",422,"Lebanon","18","6","0",167.16,"1860",65.8110236220472
"240",760,"Syrian Arab Republic","18","6","0",167.98,"1860",66.1338582677165
"241",792,"Turkey","18","6","0",169.06,"1860",66.5590551181102
"242",886,"Yemen (until 1990)","18","6","0",161.12,"1860",63.4330708661417
"243",887,"Yemen","18","6","0",161.12,"1860",63.4330708661417
"244",762,"Tajikistan","18","6","0",165,"1860",64.9606299212598
"245",818,"Egypt","18","6","0",167.69,"1860",66.0196850393701
"246",288,"Ghana","18","6","0",167.757,"1860",66.046062992126
"247",686,"Senegal","18","6","0",172.545,"1860",67.9311023622047
"248",768,"Togo","18","6","0",165.345,"1860",65.0964566929134
"249",120,"Cameroon","18","6","0",165.145,"1860",65.0177165354331
"250",178,"Congo","18","6","0",166.043,"1860",65.3712598425197
"251",232,"Eritrea","18","6","0",166.282,"1860",65.4653543307087
"252",230,"Ethiopia (until 1993)","18","6","0",169.3,"1860",66.6535433070866
"253",231,"Ethiopia (from 1993)","18","6","0",169.3,"1860",66.6535433070866
"254",450,"Madagascar","18","6","0",163.918,"1860",64.5346456692913
"255",40,"Austria","18","7","0",167.2,"1870",65.8267716535433
"256",56,"Belgium","18","7","0",166.6,"1870",65.5905511811024
"257",280,"Federal Republic of Germany (until 1990)","18","7","0",166.9,"1870",65.7086614173228
"258",250,"France","18","7","0",165.5,"1870",65.1574803149606
"259",276,"Germany","18","7","0",166.9,"1870",65.7086614173228
"260",528,"Netherlands","18","7","0",167.1,"1870",65.7874015748031
"261",756,"Switzerland","18","7","0",164.7,"1870",64.8425196850394
"262",208,"Denmark","18","7","0",168.1,"1870",66.1811023622047
"263",233,"Estonia","18","7","0",167.6,"1870",65.9842519685039
"264",372,"Ireland","18","7","0",168.45,"1870",66.3188976377953
"265",578,"Norway","18","7","0",170.4,"1870",67.0866141732283
"266",752,"Sweden","18","7","0",170.3,"1870",67.0472440944882
"267",826,"United Kingdom of Great Britain and Northern Ireland","18","7","0",167.15,"1870",65.8070866141732
"268",191,"Croatia","18","7","0",166.8,"1870",65.6692913385827
"269",300,"Greece","18","7","0",168.5,"1870",66.3385826771653
"270",380,"Italy","18","7","0",163.5,"1870",64.3700787401575
"271",620,"Portugal","18","7","0",164.688,"1870",64.8377952755906
"272",688,"Serbia","18","7","0",169.7,"1870",66.8110236220472
"273",891,"Serbia and Montenegro (until 2006)","18","7","0",169.7,"1870",66.8110236220472
"274",705,"Slovenia","18","7","0",168.3,"1870",66.259842519685
"275",724,"Spain","18","7","0",162.6,"1870",64.0157480314961
"276",203,"Czech Republic","18","7","0",167,"1870",65.748031496063
"277",200,"Czechoslovakia (until 1993)","18","7","0",169.7,"1870",66.8110236220472
"278",348,"Hungary","18","7","0",166.388,"1870",65.5070866141732
"279",616,"Poland","18","7","0",166.3,"1870",65.4724409448819
"280",642,"Romania","18","7","0",165.367,"1870",65.1051181102362
"281",643,"Russian Federation","18","7","0",165.8,"1870",65.2755905511811
"282",703,"Slovakia","18","7","0",165.1,"1870",65
"283",804,"Ukraine","18","7","0",164.6,"1870",64.8031496062992
"284",124,"Canada","18","7","0",171.2,"1870",67.4015748031496
"285",840,"United States of America","18","7","0",171.1,"1870",67.3622047244095
"286",192,"Cuba","18","7","0",167.1,"1870",65.7874015748031
