City,Abbr.,County,Alias_Abbr
Tenakee Springs,AK,HOONAH ANGOON,"Tenakee Spgs, AK"
Tenakee Springs,AK,HOONAH ANGOON,"Tenakee Springs, AK"
Ketchikan,AK,KETCHIKAN GATEWAY,"Kasaan, AK"
Ketchikan,AK,KETCHIKAN GATEWAY,"Naukati Bay, AK"
Ketchikan,AK,KETCHIKAN GATEWAY,"Edna Bay, AK"
Ketchikan,AK,KETCHIKAN GATEWAY,"Saxman, AK"
Ketchikan,AK,KETCHIKAN GATEWAY,"Ketchikan, AK"
Meyers Chuck,AK,KETCHIKAN GATEWAY,"Meyers Chuck, AK"
Coffman Cove,AK,PRINCE OF WALES HYDER,"Coffman Cove, AK"
Thorne Bay,AK,PRINCE OF WALES HYDER,"Thorne Bay, AK"
Craig,AK,PRINCE OF WALES HYDER,"Craig, AK"
Hydaburg,AK,PRINCE OF WALES HYDER,"Hydaburg, AK"
Hyder,AK,PRINCE OF WALES HYDER,"Hyder, AK"
Klawock,AK,PRINCE OF WALES HYDER,"Klawock, AK"
Metlakatla,AK,PRINCE OF WALES HYDER,"Metlakatla, AK"
Point Baker,AK,PRINCE OF WALES HYDER,"Point Baker, AK"
Ward Cove,AK,KETCHIKAN GATEWAY,"Ward Cove, AK"
Wrangell,AK,WRANGELL,"Wrangell, AK"
Moody,AL,SAINT CLAIR,"Moody, AL"
Moody,AL,SAINT CLAIR,"Acmar, AL"
Adamsville,AL,JEFFERSON,"Adamsville, AL"
Adger,AL,JEFFERSON,"North Johns, AL"
Adger,AL,JEFFERSON,"Adger, AL"
Alabaster,AL,SHELBY,"Alabaster, AL"
Alexander City,AL,TALLAPOOSA,"Alexander City, AL"
Alexander City,AL,TALLAPOOSA,"Alex City, AL"
Allgood,AL,BLOUNT,"Allgood, AL"
Alpine,AL,TALLADEGA,"Alpine, AL"
Alton,AL,JEFFERSON,"Alton, AL"
Arab,AL,MARSHALL,"Arab, AL"
Baileyton,AL,CULLMAN,"Baileyton, AL"
Bessemer,AL,JEFFERSON,"Brighton, AL"
Bessemer,AL,JEFFERSON,"Bessemer, AL"
Helena,AL,SHELBY,"Helena, AL"
Bessemer,AL,JEFFERSON,"Bess, AL"
Bessemer,AL,JEFFERSON,"Hueytown, AL"
Bessemer,AL,JEFFERSON,"Concord, AL"
Bessemer,AL,JEFFERSON,"Hopewell, AL"
Blountsville,AL,BLOUNT,"Blountsville, AL"
Bon Air,AL,TALLADEGA,"Bon Air, AL"
Bremen,AL,CULLMAN,"Bremen, AL"
Bremen,AL,CULLMAN,"Arkadelphia, AL"
Brent,AL,BIBB,"Brent, AL"
Brierfield,AL,BIBB,"Brierfield, AL"
Brookside,AL,JEFFERSON,"Brookside, AL"
Brookside,AL,JEFFERSON,"Cardiff, AL"
Burnwell,AL,WALKER,"Burnwell, AL"
Calera,AL,SHELBY,"Calera, AL"
Centreville,AL,BIBB,"Centreville, AL"
Centreville,AL,BIBB,"Eoline, AL"
Chelsea,AL,SHELBY,"Chelsea, AL"
Childersburg,AL,TALLADEGA,"Coosa Pines, AL"
Childersburg,AL,TALLADEGA,"Childersburg, AL"
Clanton,AL,CHILTON,"Clanton, AL"
Clay,AL,JEFFERSON,"Clay, AL"
Cleveland,AL,BLOUNT,"Nectar, AL"
Cleveland,AL,BLOUNT,"Cleveland, AL"
Columbiana,AL,SHELBY,"Columbiana, AL"
Cook Springs,AL,SAINT CLAIR,"Cook Springs, AL"
Crane Hill,AL,CULLMAN,"Crane Hill, AL"
Cropwell,AL,SAINT CLAIR,"Cropwell, AL"
Cullman,AL,CULLMAN,"Cullman, AL"
Cullman,AL,CULLMAN,"Dodge City, AL"
Cullman,AL,CULLMAN,"Good Hope, AL"
Docena,AL,JEFFERSON,"Docena, AL"
Dolomite,AL,JEFFERSON,"Dolomite, AL"
Dora,AL,JEFFERSON,"Dora, AL"
Empire,AL,WALKER,"Empire, AL"
Fairfield,AL,JEFFERSON,"Fairfield, AL"
Fultondale,AL,JEFFERSON,"Coalburg, AL"
Fultondale,AL,JEFFERSON,"Fulton Springs, AL"
Fultondale,AL,JEFFERSON,"Fultondale, AL"
Garden City,AL,CULLMAN,"Garden City, AL"
Gardendale,AL,JEFFERSON,"Gardendale, AL"
Goodwater,AL,COOSA,"Goodwater, AL"
Graysville,AL,JEFFERSON,"Alden, AL"
Graysville,AL,JEFFERSON,"Blossburg, AL"
Graysville,AL,JEFFERSON,"Graysville, AL"
Green Pond,AL,BIBB,"Green Pond, AL"
Hanceville,AL,CULLMAN,"Hanceville, AL"
Harpersville,AL,SHELBY,"Harpersville, AL"
Hayden,AL,BLOUNT,"Hayden, AL"
Hayden,AL,BLOUNT,"Blount Springs, AL"
Sylacauga,AL,TALLADEGA,"Sylacauga, AL"
Hollins,AL,CLAY,"Hollins, AL"
Holly Pond,AL,CULLMAN,"Holly Pond, AL"
Jemison,AL,CHILTON,"Jemison, AL"
Joppa,AL,CULLMAN,"Joppa, AL"
Kellyton,AL,COOSA,"Kellyton, AL"
Kimberly,AL,JEFFERSON,"Kimberly, AL"
Leeds,AL,JEFFERSON,"Leeds, AL"
Lincoln,AL,TALLADEGA,"Lincoln, AL"
Locust Fork,AL,BLOUNT,"Locust Fork, AL"
Logan,AL,CULLMAN,"Logan, AL"
Mc Calla,AL,JEFFERSON,"Lake View, AL"
Mc Calla,AL,JEFFERSON,"Mc Calla, AL"
Margaret,AL,SAINT CLAIR,"Margaret, AL"
Maylene,AL,SHELBY,"Maylene, AL"
Montevallo,AL,SHELBY,"Marvel, AL"
Montevallo,AL,SHELBY,"Montevallo, AL"
Morris,AL,JEFFERSON,"Morris, AL"
Mount Olive,AL,JEFFERSON,"Mount Olive, AL"
Mulga,AL,JEFFERSON,"Maytown, AL"
Mulga,AL,JEFFERSON,"Sylvan Springs, AL"
Mulga,AL,JEFFERSON,"Sylvan Spgs, AL"
Mulga,AL,JEFFERSON,"Mulga, AL"
New Castle,AL,JEFFERSON,"New Castle, AL"
Odenville,AL,SAINT CLAIR,"Branchville, AL"
Odenville,AL,SAINT CLAIR,"Odenville, AL"
Oneonta,AL,BLOUNT,"Oneonta, AL"
Oneonta,AL,BLOUNT,"Highland Lake, AL"
Oneonta,AL,BLOUNT,"Rosa, AL"
Oneonta,AL,BLOUNT,"Hoods Crossroads, AL"
Oneonta,AL,BLOUNT,"Straight Mountain, AL"
