unitid,year,fips,race,sex,completers
109651,2014,6,9,2,4
109651,2014,6,1,99,127
109651,2015,6,7,99,22
109651,2015,6,5,1,0
109651,2015,6,5,2,1
109651,2015,6,4,99,146
109651,2015,6,2,1,1
109651,2015,6,2,2,1
109651,2015,6,3,99,40
109651,2015,6,6,1,0
109651,2015,6,6,2,4
109651,2015,6,8,99,129
109651,2015,6,99,1,216
109651,2015,6,99,2,248
109651,2015,6,9,99,3
109651,2015,6,1,1,69
109651,2015,6,1,2,48
109721,2014,6,7,1,5
109721,2014,6,7,2,9
109721,2014,6,5,99,3
109721,2014,6,4,1,3
109721,2014,6,4,2,1
109721,2014,6,2,99,103
109721,2014,6,3,1,38
109721,2014,6,3,2,69
109721,2014,6,6,99,2
109721,2014,6,8,1,0
109721,2014,6,8,2,0
109721,2014,6,99,99,261
109721,2014,6,9,1,2
109721,2014,6,9,2,0
109721,2014,6,1,99,26
109721,2015,6,7,99,7
109721,2015,6,5,1,0
109721,2015,6,5,2,1
109721,2015,6,4,99,3
109721,2015,6,2,1,35
109721,2015,6,2,2,54
109721,2015,6,3,99,110
109721,2015,6,6,1,0
109721,2015,6,6,2,0
109721,2015,6,8,99,0
109721,2015,6,99,1,87
109721,2015,6,99,2,141
109721,2015,6,9,99,0
109721,2015,6,1,1,8
109721,2015,6,1,2,10
109730,2014,6,7,1,0
109730,2014,6,7,2,0
109730,2014,6,5,99,0
109730,2014,6,4,1,2
109730,2014,6,4,2,1
109730,2014,6,2,99,38
109730,2014,6,3,1,38
109730,2014,6,3,2,8
109730,2014,6,6,99,0
109730,2014,6,8,1,0
109730,2014,6,8,2,0
109730,2014,6,99,99,119
109730,2014,6,9,1,0
109730,2014,6,9,2,0
109730,2014,6,1,99,32
109730,2015,6,7,99,0
109730,2015,6,5,1,0
109730,2015,6,5,2,0
109730,2015,6,4,99,3
109730,2015,6,2,1,29
109730,2015,6,2,2,7
109730,2015,6,3,99,53
109730,2015,6,6,1,1
109730,2015,6,6,2,1
109730,2015,6,8,99,0
109730,2015,6,99,1,87
109730,2015,6,99,2,27
109730,2015,6,9,99,5
109730,2015,6,1,1,13
109730,2015,6,1,2,2
109785,2014,6,7,1,20
109785,2014,6,7,2,42
109785,2014,6,5,99,11
109785,2014,6,4,1,96
109785,2014,6,4,2,194
109785,2014,6,2,99,208
109785,2014,6,3,1,196
109785,2014,6,3,2,557
109785,2014,6,6,99,26
109785,2014,6,8,1,39
109785,2014,6,8,2,56
109785,2014,6,99,99,3316
109785,2014,6,9,1,99
109785,2014,6,9,2,233
109785,2014,6,1,99,1539
109785,2015,6,7,99,91
109785,2015,6,5,1,4
109785,2015,6,5,2,7
109785,2015,6,4,99,304
109785,2015,6,2,1,49
109785,2015,6,2,2,117
109785,2015,6,3,99,736
109785,2015,6,6,1,8
109785,2015,6,6,2,11
109785,2015,6,8,99,76
109785,2015,6,99,1,896
109785,2015,6,99,2,2042
109785,2015,6,9,99,251
109785,2015,6,1,1,389
109785,2015,6,1,2,895
109819,2014,6,7,1,22
109819,2014,6,7,2,33
109819,2014,6,5,99,6
109819,2014,6,4,1,24
109819,2014,6,4,2,51
109819,2014,6,2,99,53
109819,2014,6,3,1,338
109819,2014,6,3,2,633
109819,2014,6,6,99,1
109819,2014,6,8,1,0
109819,2014,6,8,2,4
109819,2014,6,99,99,1604
109819,2014,6,9,1,8
109819,2014,6,9,2,1
109819,2014,6,1,99,430
109819,2015,6,7,99,65
109819,2015,6,5,1,2
109819,2015,6,5,2,1
109819,2015,6,4,99,77
109819,2015,6,2,1,18
109819,2015,6,2,2,30
109819,2015,6,3,99,1193
109819,2015,6,6,1,1
109819,2015,6,6,2,0
109819,2015,6,8,99,6
109819,2015,6,99,1,648
109819,2015,6,99,2,1172
109819,2015,6,9,99,1
109819,2015,6,1,1,164
109819,2015,6,1,2,262
109907,2014,6,7,1,5
109907,2014,6,7,2,6
109907,2014,6,5,99,2
109907,2014,6,4,1,2
109907,2014,6,4,2,2
109907,2014,6,2,99,36
109907,2014,6,3,1,35
109907,2014,6,3,2,62
109907,2014,6,6,99,2
109907,2014,6,8,1,0
109907,2014,6,8,2,0
109907,2014,6,99,99,247
109907,2014,6,9,1,1
109907,2014,6,9,2,0
109907,2014,6,1,99,94
109907,2015,6,7,99,20
109907,2015,6,5,1,1
109907,2015,6,5,2,1
109907,2015,6,4,99,5
109907,2015,6,2,1,11
109907,2015,6,2,2,27
109907,2015,6,3,99,114
109907,2015,6,6,1,1
109907,2015,6,6,2,4
109907,2015,6,8,99,1
109907,2015,6,99,1,109
109907,2015,6,99,2,181
109907,2015,6,9,99,2
109907,2015,6,1,1,49
109907,2015,6,1,2,54
109934,2014,6,7,1,0
109934,2014,6,7,2,8
109934,2014,6,5,99,1
109934,2014,6,4,1,0
109934,2014,6,4,2,9
109934,2014,6,2,99,12
109934,2014,6,3,1,2
109934,2014,6,3,2,56
109934,2014,6,6,99,3
109934,2014,6,8,1,0
109934,2014,6,8,2,0
109934,2014,6,99,99,101
109934,2014,6,9,1,1
109934,2014,6,9,2,0
109934,2014,6,1,99,9
109934,2015,6,7,99,4
109934,2015,6,5,1,1
109934,2015,6,5,2,0
109934,2015,6,4,99,8
109934,2015,6,2,1,0
109934,2015,6,2,2,11
109934,2015,6,3,99,62
109934,2015,6,6,1,0
109934,2015,6,6,2,1
109934,2015,6,8,99,0
109934,2015,6,99,1,9
